ID,TEXT,SOURCE,INTENCAO
45,pesquisa de preços,search log,"O usuário deseja compreender a importância, a obrigatoriedade e as metodologias corretas para a realização de pesquisas de preços no contexto de licitações públicas. Os resultados devem detalhar que a pesquisa de preços é essencial para avaliar a razoabilidade dos lances, estimar o custo do objeto e é um requisito legal. Devem abranger as fontes diversas que podem ser utilizadas, como cotações de fornecedores, consultas a órgãos oficiais, sistemas de registro de preços, contratações públicas similares, pesquisas em meios especializados (internet, mídias) e contratos anteriores do próprio órgão. Também é importante que os resultados expliquem que a pesquisa não deve se limitar a cotações diretas com fornecedores e que deve haver uma análise crítica dos valores obtidos, descartando cotações atípicas para garantir uma estimativa confiável. Preferencialmente, a pesquisa deve basear-se em uma 'cesta de preços' com prioridade para valores praticados na Administração Pública e oriundos de outros certames, utilizando pesquisa exclusiva com fornecedores apenas como último recurso."
46,planilha de custos e formação de preços,search log,"O usuário busca informações detalhadas sobre planilhas de custos e formação de preços em processos licitatórios. Os resultados devem abordar a obrigatoriedade de retratarem a composição do preço unitário mensal dos serviços, e não serem meramente referenciais. Devem explicar como divergências entre as planilhas da licitante e da Administração, ou a cotação de lucro zero/negativo, não são, em princípio, motivo de desclassificação, mas exigem exame de exequibilidade, dada a natureza subsidiária das planilhas. É importante cobrir a necessidade de discriminação de todos os custos unitários, a composição da taxa de Bonificação e Despesas Indiretas (BDI) e encargos sociais, tanto nas planilhas de referência da Administração quanto nas propostas dos licitantes. Os resultados devem mencionar a observância dos ganhos de escala na formação de preços e, em licitações de serviços continuados com dedicação exclusiva de mão de obra, a previsão da incidência do PIS e da Cofins sobre a receita bruta. Além disso, as planilhas devem ser entendidas como elementos integrantes da proposta, servindo de base para reequilíbrio contratual e identificação de 'jogo de planilha'. Por fim, a mera existência de erro material ou omissão na planilha não deve levar à desclassificação automática, sendo necessária diligência para correção sem alterar o valor global proposto."
47,publicidade e propaganda,search log,"O usuário busca informações sobre a aplicação da legislação em licitações e contratos de publicidade e propaganda, especificamente sobre como devem ser remuneradas as agências de propaganda e quais notas fiscais podem ser emitidas em nome do órgão contratante. Também procura entender as restrições constitucionais para a realização de ações de publicidade, que devem ser educativas, informativas ou de orientação social, sem caracterizar promoção pessoal de autoridades ou vinculação direta ou indireta a autoridades ou servidores públicos."
48,processo seletivo e sistema s,search log,"O usuário busca entender os requisitos e princípios aplicáveis aos processos seletivos realizados pelas entidades do Sistema S. Isso inclui a observância de princípios constitucionais como legalidade, impessoalidade, moralidade, isonomia, eficiência e publicidade, mesmo que não sejam obrigados a realizar concurso público. Os resultados devem detalhar a necessidade de estabelecer processos seletivos próprios com critérios objetivos de seleção e recrutamento. É importante que os documentos expliquem a flexibilidade relativa dessas entidades e a exigência de publicidade ampla, especialmente sobre editais, conteúdo programático, notas atribuídas e motivos de pontuação para permitir recursos. Além disso, deve ser abordada a proibição de critérios subjetivos como pesquisa de referências, entrevistas e análise curricular sem critérios objetivos pré-definidos, e a obrigatoriedade de prever etapa recursal. Os resultados também devem cobrir a necessidade de instrumentos convocatórios detalhados, especificando fases, procedimentos, fórmulas de pontuação, critérios de desempate, conteúdo programático, prazos de recurso e critérios objetivos para avaliação de fases como entrevistas, se houver."
49,modalidade de licitação,search log,"O usuário busca entender as diferentes modalidades de licitação, com foco principal no pregão e na modalidade convite. Para o pregão, é importante saber quando ele é a modalidade adequada, especialmente para concessão remunerada de uso de bens públicos e para aquisição/contratação de bens e serviços comuns, definidos por padrões de desempenho e qualidade objetivamente definidos e usuais no mercado. Também deve ser abordada a preferência pelo pregão eletrônico, e que ele pode ser usado para objetos padronizáveis e disponíveis no mercado, independentemente da complexidade, com a possibilidade de usar outra modalidade apenas se o pregão não for viável e isso for justificado. Para a modalidade convite, o foco é nas regras para a participação de interessados (convidados e não convidados, mas cadastrados), e na validade do certame, que exige um mínimo de três propostas aptas à seleção, com a necessidade de repetição do convite ou anulação se esse número não for atingido, a menos que haja desinteresse manifesto ou limitações de mercado."
50,antecipação de pagamento,search log,"O usuário busca informações sobre a antecipação de pagamento em contratos administrativos. Os resultados devem detalhar que a antecipação é uma medida excepcional, que requer justificativa pormenorizada, comprovação de interesse público e previsão no edital ou instrumento de adjudicação direta. Adicionalmente, é crucial que os documentos expliquem a necessidade de apresentação de garantias suficientes para resguardar a administração pública de riscos de inexecução contratual, e que essa prática pode ser condicionada à concessão de desconto pelo contratado."
51,concessão remunerada de uso de bens públicos modalidade,expression from LLM question,"O usuário busca informações sobre a modalidade de licitação adequada para a concessão remunerada de uso de bens públicos. Os resultados devem abranger a preferência pelo pregão, especialmente o pregão eletrônico, como modalidade apropriada para esse tipo de concessão, com foco no critério de julgamento pela maior oferta em lances sucessivos. Além disso, é relevante abordar a possibilidade de exigir a quitação de débitos de concessões anteriores como condição de participação e a natureza intuitu personae desses contratos, que impede a cessão a terceiros, com a consequente necessidade de nova licitação em caso de desistência. Por fim, deve-se incluir a obrigatoriedade de licitação para cessão onerosa de espaços em imóveis públicos para fins lucrativos, desde que haja competitividade."
52,citação válida falecimento,expression from LLM question,"O usuário busca entender a validade da citação em casos de falecimento do responsável, dependendo do momento em que o óbito ocorre em relação ao ato citatório e à apresentação de defesa. É necessário esclarecer se a citação é considerada válida quando o falecimento ocorre após a citação ou após a apresentação da defesa, e em quais circunstâncias essa validade é mantida para o julgamento das contas. Também é fundamental abordar o que acontece com a responsabilidade pelo dano ao erário (se recai sobre o espólio ou sucessores) e as consequências jurídicas sancionatórias (se são personalíssimas ao gestor falecido e não se transferem aos sucessores). Por outro lado, é crucial identificar as situações em que a citação é considerada inválida ou nula, especialmente quando ocorre após o falecimento do responsável, impedindo o exercício do contraditório e da ampla defesa, e quando o falecimento precede a citação, levando ao arquivamento do processo. A busca abrange as condições para a validade da citação, a continuidade do processo de tomada de contas, a transferência de responsabilidades patrimoniais e a extinção da punibilidade em virtude do falecimento."
53,garantia contratual patrimônio líquido mínimo,expression from LLM question,"O usuário busca entender as condições sob as quais a exigência de um patrimônio líquido mínimo é permitida em processos licitatórios, especialmente quando combinada com a exigência de garantia contratual. Os resultados devem esclarecer que a exigência de patrimônio líquido mínimo para qualificação econômico-financeira, juntamente com a exigência de garantia contratual após a adjudicação do contrato, é válida. No entanto, a exigência simultânea de patrimônio líquido mínimo e de garantia de participação na licitação como requisitos de habilitação é considerada irregular."
54,garantia de participação patrimônio líquido mínimo,expression from LLM question,"O usuário busca informações sobre a necessidade de apresentação de capital social ou patrimônio líquido mínimo como requisito para a prestação de garantia de participação em processos licitatórios, especificamente quando exigido pela Administração Pública."
55,despesas sem cobertura contratual multa,expression from LLM question,"O usuário deseja localizar informações sobre a aplicação de multa em casos de despesas sem cobertura contratual. As respostas devem abordar que essa prática é considerada uma irregularidade grave, justificando a aplicação de multa aos responsáveis. Deve ser mencionado que a situação pode envolver culpa do gestor, especialmente na escolha de subordinados, e que o julgamento pela irregularidade das contas pode ocorrer. Exemplos específicos incluem a execução de serviços novos com faturamento baseado em planilha original sem a devida execução."
56,uso de áreas comerciais em aeroportos pregão,expression from LLM question,"O usuário busca saber se o pregão é a modalidade de licitação adequada para a concessão de uso de áreas comerciais em aeroportos, e se a lei de concessões é aplicável nesse contexto, além de confirmar a exigência de licitação pública para esse tipo de concessão."
57,cessão das áreas comerciais de centrais públicas de abastecimento de gêneros alimentícios licitação,expression from LLM question,"O usuário busca informações sobre a cessão de áreas comerciais em centrais públicas de abastecimento de gêneros alimentícios, especificamente como essa cessão deve ser realizada através de licitação. Os resultados devem abordar a necessidade de seguir as normas de concessão remunerada de uso de bem público e a preferência pelo uso da modalidade pregão eletrônico no processo licitatório."
58,capacidade bens pertinentes e compatíveis com o objeto da licitação comprovação,expression from LLM question,"O usuário busca informações sobre os requisitos para comprovação da capacidade técnica e operacional de licitantes, especificamente em relação ao fornecimento de bens compatíveis com o objeto da licitação. Os resultados devem detalhar a obrigatoriedade de estabelecer parâmetros objetivos para analisar atestados que demonstrem que a licitante já forneceu bens com características, quantidades e prazos semelhantes aos exigidos. A análise deve abranger a pertinência e compatibilidade dos bens prestados anteriormente com o objeto licitado."
59,extrapolação dos limites para alterações consensuais qualitativas de contratos de obras e serviços,expression from LLM question,"O usuário busca entender as condições excepcionais que permitem a extrapolação dos limites legais para alterações consensuais qualitativas em contratos de obras e serviços. As respostas devem detalhar os requisitos cumulativos que precisam ser atendidos, incluindo: a ausência de encargos contratuais superiores aos de rescisão e nova licitação; a garantia de que o contratado possui capacidade técnica e econômica para prosseguir; a ocorrência de fatos supervenientes imprevisíveis; a não transfiguração do objeto original do contrato; a necessidade da alteração para a completa execução, otimização do cronograma e antecipação de benefícios; e a demonstração de que a rescisão e nova licitação acarretariam um sacrifício insuportável ao interesse público, especialmente em situações de urgência e emergência. Também deve ser abordado que os limites percentuais de acréscimo e supressão não são compensáveis e que a extrapolação só é aceitável em situações excepcionalíssimas com imprevisibilidade, e que os princípios da finalidade, razoabilidade e proporcionalidade, além dos direitos do contratante privado, devem ser observados."
60,responsabilidade do gestor sucessor omissão do antecessor,expression from LLM question,"O usuário busca entender a responsabilidade do gestor público sucessor em casos de omissão na prestação de contas ou má gestão de recursos por parte do seu antecessor. Os resultados devem cobrir as situações em que o sucessor é solidariamente responsável, especialmente quando não adota medidas administrativas ou judiciais para resguardar o patrimônio público ou retomar obras inacabadas, conforme a Súmula TCU 230. Devem ser abordadas as condições em que o sucessor não é imputado com débito, como quando a aplicação dos recursos, vigência do convênio e prazo para prestação de contas ocorreram integralmente na gestão anterior, mas ressaltando que ele ainda pode ser responsabilizado por multa caso omita a prestação de contas dos atos do antecessor ou não tome providências judiciais para recompor prejuízos e obter documentos. A responsabilidade é afastada se o sucessor comprovar ter ajuizado ação de ressarcimento ou representação criminal contra o antecessor, ou se não foi o responsável pela execução dos recursos transferidos, mesmo que o prazo de prestação de contas tenha vencido em sua gestão."
61,projeto de parceria público-privada modalidade,expression from LLM question,"O usuário busca informações detalhadas sobre o projeto de parceria público-privada (PPP), especificamente sobre a modalidade ou modelo a ser adotado. Os resultados devem abranger os diferentes tipos de PPPs existentes, suas características, requisitos para implementação, exemplos de aplicação e as etapas envolvidas na constituição e gestão de um projeto de PPP, focando em como diferentes modalidades podem se adequar a diversos tipos de projetos e necessidades governamentais."
62,objeto do certame contrato social licitante,expression from LLM question,"O usuário busca entender a exigência de que o objeto de uma licitação seja compatível com as atividades registradas no contrato social das empresas que participam do certame, como requisito para a habilitação jurídica."
63,responsabilidade gestão dos recursos Fundo Municipal de Saúde,expression from LLM question,"O usuário busca informações sobre quem é o responsável pela gestão dos recursos do Fundo Municipal de Saúde. Os resultados devem esclarecer que a responsabilidade primária recai sobre o secretário municipal de saúde, mesmo que outros agentes participem da administração dos recursos. Também deve ser abordado que essa responsabilidade pode ser relativa e afastada se o gestor local não teve participação efetiva na gestão. Adicionalmente, os resultados devem explicar que, a menos que a lei do fundo determine o contrário, o prefeito é o ordenador de despesas inicial, mas essa competência pode ser delegada ao secretário municipal de saúde através de um instrumento legal formal."
64,pesquisa de mercado orçamento fornecedores,expression from LLM question,"O usuário busca informações sobre como realizar uma pesquisa de mercado para a elaboração de orçamentos em processos licitatórios. Os resultados devem detalhar que a pesquisa de preços não deve se limitar a cotações de fornecedores, mas sim incluir diversas outras fontes como parâmetro. Entre as fontes recomendadas estão contratações públicas similares, sistemas referenciais de preços disponíveis, pesquisas em sítios especializados na internet, portais oficiais de referenciamento de custos (como o Painel de Preços do Portal de Compras do Governo Federal) e contratos anteriores do próprio órgão. Para a elaboração do orçamento-base, é essencial que a pesquisa de mercado seja ampla e documentada, utilizando-se de fontes oficiais ou, quando houver, orçamentos de pelo menos três fornecedores."
65,pesquisa de preços obrigatória em licitações,expression from LLM question,"O usuário busca informações sobre a obrigatoriedade e a forma de realizar a pesquisa de preços em processos de licitação, dispensa e inexigibilidade. Os resultados devem abranger a necessidade de consultar preços correntes de mercado, de órgãos oficiais ou de sistemas de registro de preços, destacando que a ausência dessa pesquisa configura descumprimento legal. É importante detalhar que a pesquisa de preços é um instrumento indispensável para avaliar a razoabilidade dos valores, estimar custos e deve ser anexada ao processo licitatório. O escopo deve incluir a exigência de, no mínimo, três cotações de fornecedores distintos quando não for possível obter preços referenciais em sistemas oficiais, com a devida justificativa para a impossibilidade de atingir esse número. Além disso, os resultados devem mencionar a importância de realizar ampla pesquisa de mercado com um número significativo de amostras ao elaborar editais e, periodicamente, durante a vigência de atas de registro de preço. Devem ser priorizadas fontes como o Portal de Compras Governamentais e contratações similares de outros entes públicos, considerando pesquisas com fornecedores, mídias especializadas ou sítios eletrônicos como práticas subsidiárias. Os resultados também devem abordar a pesquisa de preços para a elaboração do orçamento estimativo e a demonstração da vantajosidade de prorrogações de contrato, considerando quantitativos."
66,vantajosidade adesão à ata,expression from LLM question,"O usuário deseja entender os requisitos e a forma de comprovar a vantajosidade na adesão a uma ata de registro de preços. Os resultados devem abordar a necessidade de planejamento prévio, a demonstração formal da vantajosidade, a compatibilidade das necessidades do órgão aderente com o objeto da ata, e a comprovação de que os preços registrados são vantajosos em comparação com referências de mercado válidas (como licitações e contratos similares). Deve ficar claro que a mera consulta de preços ou a reprodução do plano de trabalho do órgão gerenciador não são suficientes para caracterizar essa vantajosidade. É importante também mencionar que órgãos convenentes podem realizar licitação própria se obtiverem condições mais vantajosas."
67,compensação entre acréscimos e supressões contratos administrativos,expression from LLM question,"O usuário deseja saber sobre a possibilidade de compensação entre acréscimos e supressões em contratos administrativos. As respostas devem cobrir que, como regra geral, essa compensação é vedada e que acréscimos e supressões devem ser considerados isoladamente em relação ao valor original do contrato. No entanto, as respostas também devem detalhar as exceções em que a compensação é juridicamente viável, especificamente para contratos de obras de infraestrutura celebrados antes de determinadas datas (relacionadas a decisões do TCU) e em casos de empreendimentos de grande relevância socioeconômica em infraestrutura hídrica sob certas condições, sempre observando a necessidade de não desvirtuar o objeto do contrato e a supremacia do interesse público. Além disso, deve ser mencionado que a prática de compensação anterior à consolidação do entendimento pelo TCU pode não ser punida."
68,vedado restabelecimento item suprimido,expression from LLM question,"O usuário busca entender as condições sob as quais o restabelecimento de itens suprimidos em um contrato é permitido, especialmente quando essa supressão foi motivada por restrições orçamentárias. A resposta deve abordar se tal restabelecimento, seja total ou parcial, é considerado uma compensação vedada e sob quais circunstâncias, especificando que o objeto licitado deve permanecer inalterado e que os termos e preços originais devem ser mantidos. Adicionalmente, deve-se esclarecer se é possível realizar novos acréscimos ao valor original do contrato após o restabelecimento."
69,marca aquisição cartuchos,expression from LLM question,"O usuário busca entender as regras e exceções para a especificação de marca na aquisição de cartuchos, especialmente em processos licitatórios. Os resultados devem abordar a regra geral de não admitir a especificação de marca, as situações em que essa exigência é permitida (como no período de garantia de equipamentos, se a garantia estiver vinculada ao uso de produtos originais/certificados), e as hipóteses em que a indicação de marca é vedada (como quando não há amparo legal ou quando se trata de produtos compatíveis/similares, a menos que haja justificativa técnica robusta e demonstrada de que apenas uma marca atende à necessidade específica da Administração). É importante cobrir as condições para a exigência de produtos originais ou certificados, que se restringem ao período de garantia, e as situações em que a preferência por marca ou a exigência de suprimentos do mesmo fabricante do equipamento impressor infringem a legislação."
70,SUS recursos União competência do TCU,expression from LLM question,"O usuário busca entender em quais situações o Tribunal de Contas da União (TCU) tem competência para fiscalizar recursos do Sistema Único de Saúde (SUS) que são originários da União. Isso inclui a fiscalização de recursos repassados aos entes federados, especialmente na modalidade de transferência fundo a fundo, mesmo que já incorporados ao patrimônio do ente e independentemente de ser transferência legal ou voluntária. A competência do TCU também abrange o controle do emprego desses valores e a fiscalização da aplicação de recursos do Fundo Nacional de Saúde, podendo haver ressarcimento de danos em caso de desvio de finalidade. No entanto, o usuário também quer saber sobre as exceções, como a não competência do TCU para examinar a prestação de contas de recursos transferidos para estados em razão de convênio, que seria de responsabilidade do Ministério, a menos que haja comprovação de aplicação irregular. Há também a ressalva de que, em casos de repasse para ressarcimento de serviços de saúde já executados, a fiscalização da aplicação posterior desses recursos não é do TCU, mas sim dos tribunais de contas locais."
71,preços referenciais sistemas oficiais estimativa de custos,expression from LLM question,"O usuário busca informações sobre a utilização de preços referenciais em sistemas oficiais para a estimativa de custos em processos licitatórios. Os resultados devem abordar a precedência dos sistemas oficiais de referência da Administração Pública sobre cotações diretas de mercado, e detalhar os procedimentos a serem adotados quando não for possível obter preços referenciais nesses sistemas oficiais. Especificamente, deve-se descrever a necessidade de realizar pesquisa de preços com um mínimo de três cotações distintas de empresas/fornecedores, incluindo a obrigatoriedade de apresentar a documentação comprobatória. Além disso, é importante cobrir as condições para justificar circunstanciadamente a impossibilidade de atingir o número mínimo de cotações. Os referenciais a serem considerados incluem parâmetros salariais e disposições de negociação coletiva de trabalho para a formação de custos com mão de obra em obras e serviços de engenharia."
72,ponderação técnica e preço,expression from LLM question,"O usuário busca entender como a ponderação entre os aspectos técnico e de preço é definida em processos licitatórios do tipo 'técnica e preço'. Os resultados devem abordar a obrigatoriedade de justificar os pesos atribuídos, a possibilidade de preponderância da técnica sobre o preço quando condizente com a complexidade do objeto e desde que não restrinja a competitividade, e a necessidade de fundamentar expressamente os fatores de ponderação para evidenciar razoabilidade e evitar privilégios ou aumento indevido de preço por diferenças técnicas não substanciais. Deve-se também considerar a pertinência dos pesos com a representatividade de cada fator técnico e a complexidade dos serviços, a possibilidade de usar referências legais para atribuição de fatores distintos, e a importância de simulações e avaliações de mercado para minimizar riscos de contratações antieconômicas ou restrição à competitividade."
73,pontuação desarrazoada licitações técnica e preço,expression from LLM question,"O usuário busca entender as regras e condições para que a pontuação em licitações do tipo 'técnica e preço' não seja considerada desarrazoada ou limitadora da competitividade. Os resultados devem abordar a necessidade de critérios objetivos para a gradação das notas técnicas, a proporcionalidade na distribuição da pontuação técnica em relação à relevância de cada quesito e ao preço, a exigência de fundamentação para a pontuação e para os fatores de ponderação entre técnica e preço, especialmente quando há preponderância da proposta técnica, e a vedação de critérios subjetivos ou pesos excessivos que restrinjam o caráter competitivo do certame ou resultem em aumento indevido de preço por diferenças técnicas não substanciais."
74,prorrogação de contrato administrativo término prazo de vigência,expression from LLM question,"O usuário busca informações sobre a prorrogação de contratos administrativos em relação ao término do prazo de vigência. Os resultados devem abordar a regra geral de que a prorrogação deve ocorrer antes do fim da vigência, mediante termo aditivo, sob pena de extinção do contrato. Devem também ser detalhadas as exceções possíveis, como em contratos de escopo onde a paralisação por iniciativa da Administração pode suspender a contagem do prazo, e a prorrogação por até doze meses para serviços contínuos em situações excepcionais ou imprevistas, excluindo a justificativa meramente pela vantajosidade de preços. O ponto crucial a ser coberto é a necessidade de formalização do aditamento até o término da vigência original para que a prorrogação seja válida e o contrato não seja extinto."
75,atestado de capacidade técnica serviços advocatícios conselho de fiscalização profissional,expression from LLM question,"O usuário busca entender a necessidade e a validade da exigência de atestados de capacidade técnica para a contratação de serviços advocatícios por conselhos de fiscalização profissional. Os resultados devem abordar a dispensabilidade ou a necessidade de comprovação de expertise técnica específica para tais serviços, as condições sob as quais a exigência de atestado pode ser considerada razoável e indispensável, e os limites para a exigência de que o atestado seja visado ou registrado por conselhos de fiscalização profissional, especialmente quando não há controle individualizado de trabalhos por essas entidades ou quando a legislação não o prevê, a fim de evitar restrições arbitrárias à participação em licitações."
76,reposição de importâncias indevidamente percebidas boa-fé servidores erro escusável por órgão/entidade,expression from LLM question,"O usuário busca informações sobre a dispensa da reposição de importâncias recebidas indevidamente por servidores, ativos e inativos, e pensionistas. Os documentos indicam que essa dispensa ocorre quando o recebimento indevido se deu de boa-fé e em virtude de erro escusável de interpretação de lei por parte do órgão/entidade ou de autoridade com função de orientação e supervisão. A presunção de legalidade do ato administrativo e o caráter alimentar das parcelas salariais são fatores considerados. A Súmula TCU 249 é um ponto de referência chave. Deve-se distinguir essa situação de erros operacionais da Administração, que geralmente exigem ressarcimento, a menos que se enquadrem na hipótese de erro escusável de interpretação de lei."
77,aquisição direta risco a saúde,expression from LLM question,"O usuário busca informações sobre os riscos à saúde associados à aquisição direta de produtos ou serviços, especialmente quando a falta destes pode acarretar danos mais graves à saúde pública do que o prejuízo ao erário. Os resultados devem abordar a ponderação entre o risco à saúde e o dano financeiro, e a justificativa para a aquisição direta em situações emergenciais que afetam a saúde."
78,pregão divulgação dos preços estimados no edital,expression from LLM question,"O usuário busca informações sobre a obrigatoriedade de divulgar os preços estimados no edital de pregão. Os resultados devem esclarecer que, em geral, a divulgação do orçamento estimado não é obrigatória no edital da modalidade pregão, mas deve constar no processo do certame. Contudo, a divulgação se torna obrigatória quando o preço de referência for utilizado como critério de aceitabilidade das propostas. Também é relevante cobrir a exceção em que a divulgação dos preços estimados em pregões para aquisição de medicamentos pode prejudicar a obtenção da proposta mais vantajosa, e que a disponibilização desses preços após a fase de lances é permitida. Por fim, deve-se abordar que a divulgação do valor orçado e do preço máximo é facultativa, e que não é obrigatória a divulgação dos preços unitários no edital mesmo quando usados como critério de aceitabilidade."
79,instrutor treinamento inexigibilidade de licitação,expression from LLM question,"O usuário busca informações sobre a inexigibilidade de licitação para contratação de instrutores para cursos de treinamento ou aperfeiçoamento de pessoal. Os resultados devem confirmar que essa situação se enquadra na inexigibilidade de licitação e detalhar as condições sob as quais essa contratação é permitida, com base nos documentos fornecidos."
80,reajuste de preços e repactuação,expression from LLM question,"O usuário busca entender a diferença entre reajuste de preços e repactuação em contratos administrativos, especialmente em serviços contínuos. Os resultados devem explicar que o reajuste é a reposição da perda do poder de compra da moeda através de índices pré-fixados e é automático, ocorrendo periodicamente. A repactuação, por outro lado, é aplicada a serviços contínuos com dedicação exclusiva de mão de obra, não é automática, e ocorre a partir da variação dos custos do contrato (demonstrada analiticamente com base na Planilha de Custos e Formação de Preços), exigindo um prazo mínimo de um ano entre as datas dos orçamentos. Os resultados também devem abordar a necessidade de demonstrar analiticamente a variação dos custos para a repactuação, a impossibilidade de usá-la com base na variação do IGPM, e a aplicação para adequar preços e eliminar sobrepreços. Adicionalmente, deve-se esclarecer que o direito à repactuação surge com majorações salariais, mas pode ser perdido por preclusão lógica ao firmar termos aditivos sem suscitar os novos valores."
81,recomposição reajuste,expression from LLM question,"O usuário busca entender a distinção e a relação entre 'recomposição' e 'reajuste' em contratos administrativos. É importante que os resultados expliquem que o reajuste visa corrigir os efeitos da inflação, enquanto a recomposição busca manter o equilíbrio econômico-financeiro do contrato diante de eventos imprevisíveis ou com consequências incalculáveis. Os resultados devem esclarecer que a aplicação da recomposição é justificada mesmo quando um reajuste já foi aplicado, pois seus fundamentos são distintos. Adicionalmente, deve ser abordado como lidar com a coexistência de ambos, especificando que, se um futuro reajuste for possível após uma recomposição, a recomposição deve vigorar apenas até a data do novo reajuste, com um recálculo subsequente para evitar a sobreposição de parcelas e manter o equilíbrio em favor da contratante."
82,retenção de pagamentos perda da regularidade fiscal,expression from LLM question,"O usuário busca informações sobre as consequências da perda da regularidade fiscal em contratos de execução continuada ou parcelada, especificamente se essa condição permite a retenção de pagamentos por serviços já prestados ou se apenas justifica a aplicação de sanções à contratada."
83,irregulares despesas desnecessárias e anteriores à celebração do contrato,expression from LLM question,"O usuário busca informações sobre a descaracterização de despesas como irregulares, desnecessárias e anteriores à celebração de um contrato, especificamente em relação a casos onde a necessidade ou a regularidade dessas despesas pode ser questionada, mesmo que tenham ocorrido antes do contrato. Deve-se cobrir a análise de quando despesas pré-contratuais podem ser consideradas irregulares ou desnecessárias, os critérios para essa avaliação e as consequências dessa caracterização. A pesquisa deve abranger situações que justifiquem a exclusão ou contestação dessas despesas no contexto contratual."
84,vínculo trabalhista ou societário pré-existente competitividade das licitantes,expression from LLM question,"O usuário busca informações sobre como a exigência de vínculo empregatício pode restringir a competitividade em licitações e quais outras formas de vínculo (contrato de prestação de serviços, vínculo societário) podem ser aceitas para demonstrar a qualificação técnico-operacional de profissionais por uma licitante."
85,técnica e preço profissionais quadro permanente,expression from LLM question,"O usuário busca informações sobre a legalidade e as implicações de exigir que profissionais façam parte do quadro permanente de uma empresa em licitações que envolvem técnica e preço. Especificamente, ele quer saber se é irregular ou ilegal atribuir pontuação a empresas apenas por terem certos profissionais em seu quadro permanente, pois isso pode prejudicar a competitividade e favorecer empresas maiores. Além disso, busca entender as regras sobre a exigência de que o responsável técnico pertença ao quadro permanente da licitante para fins de habilitação técnica-profissional ou pré-qualificação."
86,erro material desclassificação da proposta,expression from LLM question,"O usuário busca informações sobre a desclassificação de propostas em licitações devido a erro material. Os resultados devem abordar a irregularidade de desclassificar propostas vantajosas por erros de baixa materialidade que poderiam ser sanados por diligência administrativa, pois isso afronta o interesse público e os princípios da competitividade, proporcionalidade e razoabilidade. Deve-se explicar que a mera existência de erro material ou omissão na planilha de custos ou preços não deve levar à desclassificação automática, sendo obrigação da Administração promover diligência para correção das falhas, sem permitir alteração do valor global original. Também é relevante mencionar que a licitante deve arcar com o ônus do seu erro se a proposta for considerada exequível mesmo com as falhas."
87,vedação à inclusão documento habilitação diligência,expression from LLM question,"O usuário busca informações sobre a permissão ou proibição de incluir documentos para comprovar a habilitação durante uma diligência em um processo licitatório. Os resultados devem esclarecer que a inclusão de documentos para comprovar uma condição de habilitação que já existia antes da abertura da sessão pública é permitida, mesmo que não tenha sido apresentada originalmente por falha ou equívoco. Deve-se também abordar a possibilidade de diligências para complementar a instrução do processo, com a ressalva de que não se pode incluir posteriormente documentos ou informações que deveriam ter constado na proposta inicial."
88,exigência comprovação de quantitativos mínimos características semelhantes,expression from LLM question,"O usuário busca entender os critérios e a legalidade da exigência de comprovação de quantitativos mínimos para atestar a capacidade técnico-operacional em licitações. Os resultados devem explicar que essa exigência é permitida, desde que guarde proporção com a dimensão e complexidade do objeto licitado, e se restrinja às parcelas de maior relevância e valor significativo. Deve-se abordar a regra geral de que os quantitativos mínimos não devem exceder 50% do orçamento base, salvo justificativa especial, e que a definição desses quantitativos deve ser razoável, não se aproximando de 100% do estimado. Além disso, é relevante que a exigência seja aplicável a obras ou serviços com características semelhantes, e em casos de objetos predominantemente intelectuais, onde a aferição de capacitação é dificultada."
89,extensão sanção de impedimento de licitar e contratar,expression from LLM question,"O usuário busca entender o alcance e a abrangência da sanção de impedimento de licitar e contratar. Especificamente, ele quer saber se essa sanção se aplica apenas ao órgão que a aplicou ou se ela se estende a toda a esfera de governo (União, estado, município ou Distrito Federal), incluindo empresas estatais. Os resultados devem esclarecer se a sanção é limitada à instituição aplicadora ou se abrange todos os órgãos e entidades da correspondente esfera de governo, e também abordar se há distinção nesse alcance em relação a outras sanções administrativas."
90,habilitação técnico-operacional obras e serviços de engenharia,expression from LLM question,"O usuário busca informações sobre os requisitos e procedimentos para comprovação da habilitação técnico-operacional em licitações de obras e serviços de engenharia. Isso inclui a exigência de atestados emitidos em nome da licitante, a possibilidade de solicitar certidões de acervo técnico (CAT) ou anotações/registros de responsabilidade técnica (ART/RRT) de profissionais vinculados, a limitação das exigências à comprovação de execução de obras e serviços similares ou equivalentes (sem exigência de metodologias específicas sem fundamentação), e a restrição de que a capacidade técnico-operacional só pode ser exigida para parcelas do objeto de maior relevância e valor. Adicionalmente, busca-se entender as restrições quanto a percentuais mínimos de quantitativos exigidos nos editais, exceto em casos excepcionais devidamente justificados."
91,controle adesão,expression from LLM question,"O usuário busca informações sobre quem é o responsável por gerenciar e controlar as autorizações de adesão a atas de registro de preços, garantindo que os limites de quantidade contratados por órgãos caronas não sejam excedidos. O foco é entender o processo de controle e as responsabilidades envolvidas na gestão dessas adesões."
